source,target,weight
3,640,0.1054969916206643
12,6332,0.004449698569036
14,4058,0.0093249645408049
18,6947,0.0074535584997777
22,5509,0.0040102316282144
27,5369,0.0059715245510201
28,5932,0.000966535538959
29,2185,0.0027286652243823
32,6896,0.006678279089961
35,3258,0.0029819937239343
35,4978,0.0072297031654088
39,1155,0.0046130983914992
41,2425,0.0047817564009668
44,2684,0.0101061547184627
48,6615,0.0057006407255135
56,2954,0.0042103910954674
57,4111,0.0184941511693376
58,1036,0.0016772789520411
61,2315,0.0027099387282136
64,1453,0.0032827371487488
64,5113,0.0036377656223667
65,4456,0.0063807020685467
69,6708,0.0065091197172826
71,5516,0.014782453630227
75,5923,0.0020283055207722
78,3684,0.0076533762046066
84,1879,0.0005386666684
85,1437,0.0007702579174026
90,4855,0.0035836683031828
93,1224,0.0050028741041517
94,4769,0.0183564001619986
95,2938,0.0104231805991558
96,3266,0.0028223798303112
106,2131,0.006170683283503
107,310,0.0057807323177958
125,6264,0.0077752501606938
132,4801,0.0046402653601342
136,1441,0.0065376825636336
141,5962,0.0077675604943019
142,5345,0.0038598000019107
143,3566,0.0063692717147751
155,3414,0.0050922046601884
161,3285,0.0063417843293995
162,1561,0.0095154800139547
166,2824,0.0010074359202132
172,1178,0.0017095173795012
186,3144,0.0019726014143102
193,3604,0.0074252275086769
199,4103,0.0032889003990207
204,2450,0.0005729221526151
213,5983,0.0049252503163592
216,1213,0.0078995770376334
222,266,0.0035643480260907
223,416,0.0023417078051782
228,4944,0.0028067554149943
228,5480,0.0067013346797704
230,3137,0.0118612080196011
234,5383,0.0077967071807603
244,4596,0.001024051799756
249,5230,0.0048171628318237
250,2278,0.0054543163519229
254,1751,0.023819013060099
259,1229,0.003066572620448
261,3455,0.0054005707160975
263,5828,0.0059431326921409
267,6771,0.0044960873109591
271,4537,0.0067119610692007
273,467,0.0023059687861961
283,3696,0.0140056301770884
284,6791,0.0047730428123744
289,2222,0.0065815560007719
294,5446,0.0210425093501726
298,2119,0.0251911954776389
305,5882,0.0048910559263059
311,3907,0.0047161771068369
319,2317,0.0202610374791561
328,5257,0.0108851629832946
329,2560,0.0005602289344011
330,3782,0.001781139629523
338,3322,0.0058498719461432
338,6168,0.0033587333493426
340,3676,0.0095984747705774
340,5085,0.0092644960228299
341,1325,0.001200438283944
343,4962,0.0065695993997853
348,6985,0.0039999336865145
357,2583,0.0116746983709072
361,3033,0.0036179486606827
369,2086,0.0228704839734166
371,4857,0.0049287664186402
373,6067,0.0053627696065723
376,6361,0.0084983430834015
378,5568,0.0020586535211716
380,6902,0.0059940221203263
381,5636,0.0043554819449405
382,3468,0.0032080323688355
385,2328,0.0036785300265474
392,2687,0.0103786083412684
396,1821,0.0034888866077996
398,2079,0.0379348105979193
400,1340,0.0032081654576011
400,5628,0.0080520325995252
410,5994,0.0015430136701468
417,6130,0.0012351168603981
417,6940,0.0008484451169863
418,6527,0.0397858347260163
425,4125,0.008470175776311
425,2603,0.0160261437907831
425,4910,0.0199739660466559
427,4645,0.0033519501169201
428,1772,0.0042045363530224
435,4591,0.0048209147044604
439,4692,0.0040823048361178
442,2678,0.0008528263473448
445,5090,0.0048534410819291
449,4182,0.0079965088653175
452,895,0.001860735343248
458,1468,0.005276029410564
460,4800,0.0035731890846668
461,3541,0.0071032139807801
463,6370,0.0098583398985685
469,6454,0.0066716425211937
470,3681,0.0024082062064426
472,3270,0.0022905655778491
488,5189,0.0007860192666687
490,1991,0.0134746758601035
496,4505,0.007681848406162
500,1628,0.002435122060213
505,6231,0.009339151672162
506,1721,0.0081373592509306
510,3431,0.0027569954580374
520,5745,0.0020610215997767
525,2536,0.0041228219421779
531,2686,0.0017838454150248
535,4148,0.0012549048832402
536,2441,0.0069977899013379
540,978,0.0020423174316605
543,2634,0.0037377748767752
546,1234,0.0043693309745916
547,4697,0.0431951696545683
550,5020,0.0041406458858162
555,4967,0.0054460687078098
556,4398,0.0415019018182264
560,3762,0.0017549902921811
570,748,0.0283254333542409
574,6294,0.0189610836334118
583,6129,0.2938731084552393
585,3134,0.0184549644642069
586,5262,0.0568331452290295
587,4726,0.0009101043496529
599,5585,0.0027863067793815
602,1099,0.0261315034236534
613,1341,0.0037114336365906
616,6187,0.0028114822757207
619,6772,0.0031734205044628
620,6890,0.0159671098621364
624,1245,0.0029574086253356
625,6706,0.0026831552152035
642,6594,0.0044010739291904
652,3454,0.0021948515921079
656,5974,0.0023821410757991
661,5465,0.0126801415263285
669,5849,0.0025575999032006
671,1333,0.0036282075232891
675,2802,0.0108445452069804
677,6057,0.0147873260152858
677,4175,0.0157766639897928
678,2320,0.0217987640969299
680,3000,0.0120568705904981
681,1492,0.0045336054899044
681,4010,0.008908185311266
681,4634,0.012834592302719
685,3585,0.0594387808123512
685,6474,0.0777544573259984
691,4533,0.040728568748434
695,6570,0.0036572977044985
703,5312,0.0190018079850005
710,4512,0.0065927999419312
713,1911,0.0021327984449171
716,2570,0.0032623477908529
718,5443,0.0010194588026683
722,916,0.0012475543668068
723,2386,0.0086587295501085
